year,avg_temp
1796,24.49
1797,25.18
1798,24.65
1799,24.81
1800,24.85
1801,24.49
1802,25.44
1803,25.22
1804,25.67
1805,25.01
1806,24.87
1807,24.25
1808,
1809,
1810,
1811,
1812,
1813,24.23
1814,23.91
1815,23.79
1816,23.3
1817,23.6
1818,23.94
1819,23.86
1820,23.91
1821,24.4
1822,24.33
1823,24.62
1824,25.1
1825,24.69
1826,24.88
1827,24.67
1828,24.61
1829,24.46
1830,24.39
1831,24.43
1832,24.66
1833,24.46
1834,24.59
1835,23.89
1836,24.12
1837,24.13
1838,24.29
1839,24.24
1840,24.24
1841,24.05
1842,24.22
1843,23.99
1844,24.23
1845,24.46
1846,24.9
1847,24.35
1848,24.35
1849,24.32
1850,24.38
1851,24.45
1852,24.43
1853,24.67
1854,24.73
1855,24.75
1856,24.21
1857,23.87
1858,24.59
1859,24.55
1860,24.41
1861,24.21
1862,23.59
1863,
1864,
1865,25.06
1866,25
1867,24.96
1868,25.07
1869,24.92
1870,24.42
1871,24.47
1872,24.48
1873,24.51
1874,24.56
1875,24.64
1876,24.84
1877,25.23
1878,25.15
1879,24.39
1880,24.58
1881,24.76
1882,24.33
1883,24.25
1884,24.35
1885,24.62
1886,24.53
1887,24.31
1888,24.63
1889,24.73
1890,24.46
1891,24.95
1892,24.59
1893,24.38
1894,24.75
1895,24.78
1896,25.12
1897,25.3
1898,24.87
1899,24.74
1900,25.44
1901,25.09
1902,25.06
1903,24.82
1904,24.53
1905,24.92
1906,25.09
1907,24.74
1908,24.66
1909,24.61
1910,24.42
1911,24.76
1912,25
1913,25
1914,25.02
1915,25.22
1916,24.75
1917,24.46
1918,24.74
1919,25.06
1920,24.99
1921,24.88
1922,24.74
1923,24.84
1924,24.89
1925,24.69
1926,25.14
1927,25.06
1928,25.06
1929,24.87
1930,24.86
1931,25.24
1932,24.68
1933,24.61
1934,24.81
1935,24.93
1936,24.99
1937,24.96
1938,24.91
1939,24.84
1940,24.92
1941,25.55
1942,25.23
1943,24.69
1944,24.92
1945,25.05
1946,24.97
1947,25.02
1948,25.21
1949,24.92
1950,24.85
1951,25.03
1952,25.12
1953,25.18
1954,24.92
1955,24.78
1956,24.73
1957,25.11
1958,25.29
1959,25.24
1960,25.07
1961,24.97
1962,24.9
1963,25.04
1964,25.09
1965,25.04
1966,25.32
1967,24.87
1968,25
1969,25.36
1970,24.95
1971,24.74
1972,25.22
1973,25.4
1974,24.94
1975,24.86
1976,25.13
1977,25.2
1978,25.07
1979,25.44
1980,25.45
1981,25.17
1982,25.42
1983,25.59
1984,25.08
1985,25.31
1986,25.51
1987,25.81
1988,25.5
1989,25.2
1990,25.25
1991,25.49
1992,25.16
1993,25.22
1994,25.22
1995,25.44
1996,25.41
1997,25.68
1998,26.01
1999,25.29
2000,25.34
2001,25.53
2002,25.76
2003,25.92
2004,25.25
2005,25.48
2006,25.42
2007,25.46
2008,25.35
2009,25.73
2010,25.71
2011,25.36
2012,26.04
2013,26.61
