year,World_Avg_Temp,FiveYear_MA_World_Temp,Bangalore_Avg_Temp,FiveYear_MA_Bangalore_Temp,Temperature_Difference
1750,8.72,,,,-8.72
1751,7.98,,,,-7.98
1752,5.78,,,,-5.78
1753,8.39,,,,-8.39
1754,8.47,7.868,,,-8.47
1755,8.36,7.796,,,-8.36
1756,8.85,7.97,,,-8.85
1757,9.02,8.618,,,-9.02
1758,6.74,8.288,,,-6.74
1759,7.99,8.192,,,-7.99
1760,7.19,7.958,,,-7.19
1761,8.77,7.942,,,-8.77
1762,8.61,7.86,,,-8.61
1763,7.5,8.012,,,-7.5
1764,8.4,8.094,,,-8.4
1765,8.25,8.306,,,-8.25
1766,8.41,8.234,,,-8.41
1767,8.22,8.156,,,-8.22
1768,6.78,8.012,,,-6.78
1769,7.69,7.87,,,-7.69
1770,7.69,7.758,,,-7.69
1771,7.85,7.646,,,-7.85
1772,8.19,7.64,,,-8.19
1773,8.22,7.928,,,-8.22
1774,8.77,8.144,,,-8.77
1775,9.18,8.442,,,-9.18
1776,8.3,8.532,,,-8.3
1777,8.26,8.546,,,-8.26
1778,8.54,8.61,,,-8.54
1779,8.98,8.652,,,-8.98
1780,9.43,8.702,,,-9.43
1781,8.1,8.662,,,-8.1
1782,7.9,8.59,,,-7.9
1783,7.68,8.418,,,-7.68
1784,7.86,8.194,,,-7.86
1785,7.36,7.78,,,-7.36
1786,8.26,7.812,,,-8.26
1787,8.03,7.838,,,-8.03
1788,8.45,7.992,,,-8.45
1789,8.33,8.086,,,-8.33
1790,7.98,8.21,,,-7.98
1791,8.23,8.204,,,-8.23
1792,8.09,8.216,,,-8.09
1793,8.23,8.172,,,-8.23
1794,8.53,8.212,,,-8.53
1795,8.35,8.286,,,-8.35
1796,8.27,8.294,24.49,,16.22
1797,8.51,8.378,25.18,,16.67
1798,8.67,8.466,24.65,,15.98
1799,8.51,8.462,24.81,,16.3
1800,8.48,8.488,24.85,24.796,16.37
1801,8.59,8.552,24.49,24.796,15.9
1802,8.58,8.566,25.44,24.848,16.86
1803,8.5,8.532,25.22,24.962,16.72
1804,8.84,8.598,25.67,25.134,16.83
1805,8.56,8.614,25.01,25.166,16.45
1806,8.43,8.582,24.87,25.242,16.44
1807,8.28,8.522,24.25,25.004,15.97
1808,7.63,8.348,,24.95,-7.63
1809,7.08,7.996,,24.71,-7.08
1810,6.92,7.668,,24.56,-6.92
1811,6.86,7.354,,24.25,-6.86
1812,7.05,7.108,,,-7.05
1813,7.74,7.13,24.23,24.23,16.49
1814,7.59,7.232,23.91,24.07,16.32
1815,7.24,7.296,23.79,23.97666667,16.55
1816,6.94,7.312,23.3,23.8075,16.36
1817,6.98,7.298,23.6,23.766,16.62
1818,7.83,7.316,23.94,23.708,16.11
1819,7.37,7.272,23.86,23.698,16.49
1820,7.62,7.348,23.91,23.722,16.29
1821,8.09,7.578,24.4,23.942,16.31
1822,8.19,7.82,24.33,24.088,16.14
1823,7.72,7.798,24.62,24.224,16.9
1824,8.55,8.034,25.1,24.472,16.55
1825,8.39,8.188,24.69,24.628,16.3
1826,8.36,8.242,24.88,24.724,16.52
1827,8.81,8.366,24.67,24.792,15.86
1828,8.17,8.456,24.61,24.79,16.44
1829,7.94,8.334,24.46,24.662,16.52
1830,8.52,8.36,24.39,24.602,15.87
1831,7.64,8.216,24.43,24.512,16.79
1832,7.45,7.944,24.66,24.51,17.21
1833,8.01,7.912,24.46,24.48,16.45
1834,8.15,7.954,24.59,24.506,16.44
1835,7.39,7.728,23.89,24.406,16.5
1836,7.7,7.74,24.12,24.344,16.42
1837,7.38,7.726,24.13,24.238,16.75
1838,7.51,7.626,24.29,24.204,16.78
1839,7.63,7.522,24.24,24.134,16.61
1840,7.8,7.604,24.24,24.204,16.44
1841,7.69,7.602,24.05,24.19,16.36
1842,8.02,7.73,24.22,24.208,16.2
1843,8.17,7.862,23.99,24.148,15.82
1844,7.65,7.866,24.23,24.146,16.58
1845,7.85,7.876,24.46,24.19,16.61
1846,8.55,8.048,24.9,24.36,16.35
1847,8.09,8.062,24.35,24.386,16.26
1848,7.98,8.024,24.35,24.458,16.37
1849,7.98,8.09,24.32,24.476,16.34
1850,7.9,8.1,24.38,24.46,16.48
1851,8.18,8.026,24.45,24.37,16.27
1852,8.1,8.028,24.43,24.386,16.33
1853,8.04,8.04,24.67,24.45,16.63
1854,8.21,8.086,24.73,24.532,16.52
1855,8.11,8.128,24.75,24.606,16.64
1856,8,8.092,24.21,24.558,16.21
1857,7.76,8.024,23.87,24.446,16.11
1858,8.1,8.036,24.59,24.43,16.49
1859,8.25,8.044,24.55,24.394,16.3
1860,7.96,8.014,24.41,24.326,16.45
1861,7.85,7.984,24.21,24.326,16.36
1862,7.56,7.944,23.59,24.27,16.03
1863,8.11,7.946,,24.19,-8.11
1864,7.98,7.892,,24.07,-7.98
1865,8.18,7.936,25.06,24.28666667,16.88
1866,8.29,8.024,25,24.55,16.71
1867,8.44,8.2,24.96,25.00666667,16.52
1868,8.25,8.228,25.07,25.0225,16.82
1869,8.43,8.318,24.92,25.002,16.49
1870,8.2,8.322,24.42,24.874,16.22
1871,8.12,8.288,24.47,24.768,16.35
1872,8.19,8.238,24.48,24.672,16.29
1873,8.35,8.258,24.51,24.56,16.16
1874,8.43,8.258,24.56,24.488,16.13
1875,7.86,8.19,24.64,24.532,16.78
1876,8.08,8.182,24.84,24.606,16.76
1877,8.54,8.252,25.23,24.756,16.69
1878,8.83,8.348,25.15,24.884,16.32
1879,8.17,8.296,24.39,24.85,16.22
1880,8.12,8.348,24.58,24.838,16.46
1881,8.27,8.386,24.76,24.822,16.49
1882,8.13,8.304,24.33,24.642,16.2
1883,7.98,8.134,24.25,24.462,16.27
1884,7.77,8.054,24.35,24.454,16.58
1885,7.92,8.014,24.62,24.462,16.7
1886,7.95,7.95,24.53,24.416,16.58
1887,7.91,7.906,24.31,24.412,16.4
1888,8.09,7.928,24.63,24.488,16.54
1889,8.32,8.038,24.73,24.564,16.41
1890,7.97,8.048,24.46,24.532,16.49
1891,8.02,8.062,24.95,24.616,16.93
1892,8.07,8.094,24.59,24.672,16.52
1893,8.06,8.088,24.38,24.622,16.32
1894,8.16,8.056,24.75,24.626,16.59
1895,8.15,8.092,24.78,24.69,16.63
1896,8.21,8.13,25.12,24.724,16.91
1897,8.29,8.174,25.3,24.866,17.01
1898,8.18,8.198,24.87,24.964,16.69
1899,8.4,8.246,24.74,24.962,16.34
1900,8.5,8.316,25.44,25.094,16.94
1901,8.54,8.382,25.09,25.088,16.55
1902,8.3,8.384,25.06,25.04,16.76
1903,8.22,8.392,24.82,25.03,16.6
1904,8.09,8.33,24.53,24.988,16.44
1905,8.23,8.276,24.92,24.884,16.69
1906,8.38,8.244,25.09,24.884,16.71
1907,7.95,8.174,24.74,24.82,16.79
1908,8.19,8.168,24.66,24.788,16.47
1909,8.18,8.186,24.61,24.804,16.43
1910,8.22,8.184,24.42,24.704,16.2
1911,8.18,8.144,24.76,24.638,16.58
1912,8.17,8.188,25,24.69,16.83
1913,8.3,8.21,25,24.758,16.7
1914,8.59,8.292,25.02,24.84,16.43
1915,8.59,8.366,25.22,25,16.63
1916,8.23,8.376,24.75,24.998,16.52
1917,8.02,8.346,24.46,24.89,16.44
1918,8.13,8.312,24.74,24.838,16.61
1919,8.38,8.27,25.06,24.846,16.68
1920,8.36,8.224,24.99,24.8,16.63
1921,8.57,8.292,24.88,24.826,16.31
1922,8.41,8.37,24.74,24.882,16.33
1923,8.42,8.428,24.84,24.902,16.42
1924,8.51,8.454,24.89,24.868,16.38
1925,8.53,8.488,24.69,24.808,16.16
1926,8.73,8.52,25.14,24.86,16.41
1927,8.52,8.542,25.06,24.924,16.54
1928,8.63,8.584,25.06,24.968,16.43
1929,8.24,8.53,24.87,24.964,16.63
1930,8.63,8.55,24.86,24.998,16.23
1931,8.72,8.548,25.24,25.018,16.52
1932,8.71,8.586,24.68,24.942,15.97
1933,8.34,8.528,24.61,24.852,16.27
1934,8.63,8.606,24.81,24.84,16.18
1935,8.52,8.584,24.93,24.854,16.41
1936,8.55,8.55,24.99,24.804,16.44
1937,8.7,8.548,24.96,24.86,16.26
1938,8.86,8.652,24.91,24.92,16.05
1939,8.76,8.678,24.84,24.926,16.08
1940,8.76,8.726,24.92,24.924,16.16
1941,8.77,8.77,25.55,25.036,16.78
1942,8.73,8.776,25.23,25.09,16.5
1943,8.76,8.756,24.69,25.046,15.93
1944,8.85,8.774,24.92,25.062,16.07
1945,8.58,8.738,25.05,25.088,16.47
1946,8.68,8.72,24.97,24.972,16.29
1947,8.8,8.734,25.02,24.93,16.22
1948,8.75,8.732,25.21,25.034,16.46
1949,8.59,8.68,24.92,25.034,16.33
1950,8.37,8.638,24.85,24.994,16.48
1951,8.63,8.628,25.03,25.006,16.4
1952,8.64,8.596,25.12,25.026,16.48
1953,8.87,8.62,25.18,25.02,16.31
1954,8.56,8.614,24.92,25.02,16.36
1955,8.63,8.666,24.78,25.006,16.15
1956,8.28,8.596,24.73,24.946,16.45
1957,8.73,8.614,25.11,24.944,16.38
1958,8.77,8.594,25.29,24.966,16.52
1959,8.73,8.628,25.24,25.03,16.51
1960,8.58,8.618,25.07,25.088,16.49
1961,8.8,8.722,24.97,25.136,16.17
1962,8.75,8.726,24.9,25.094,16.15
1963,8.86,8.744,25.04,25.044,16.18
1964,8.41,8.68,25.09,25.014,16.68
1965,8.53,8.67,25.04,25.008,16.51
1966,8.6,8.63,25.32,25.078,16.72
1967,8.7,8.62,24.87,25.072,16.17
1968,8.52,8.552,25,25.064,16.48
1969,8.6,8.59,25.36,25.118,16.76
1970,8.7,8.624,24.95,25.1,16.25
1971,8.6,8.624,24.74,24.984,16.14
1972,8.5,8.584,25.22,25.054,16.72
1973,8.95,8.67,25.4,25.134,16.45
1974,8.47,8.644,24.94,25.05,16.47
1975,8.74,8.652,24.86,25.032,16.12
1976,8.35,8.602,25.13,25.11,16.78
1977,8.85,8.672,25.2,25.106,16.35
1978,8.69,8.62,25.07,25.04,16.38
1979,8.73,8.672,25.44,25.14,16.71
1980,8.98,8.72,25.45,25.258,16.47
1981,9.17,8.884,25.17,25.266,16
1982,8.64,8.842,25.42,25.31,16.78
1983,9.03,8.91,25.59,25.414,16.56
1984,8.69,8.902,25.08,25.342,16.39
1985,8.66,8.838,25.31,25.314,16.65
1986,8.83,8.77,25.51,25.382,16.68
1987,8.99,8.84,25.81,25.46,16.82
1988,9.2,8.874,25.5,25.442,16.3
1989,8.92,8.92,25.2,25.466,16.28
1990,9.23,9.034,25.25,25.454,16.02
1991,9.18,9.104,25.49,25.45,16.31
1992,8.84,9.074,25.16,25.32,16.32
1993,8.87,9.008,25.22,25.264,16.35
1994,9.04,9.032,25.22,25.268,16.18
1995,9.35,9.056,25.44,25.306,16.09
1996,9.04,9.028,25.41,25.29,16.37
1997,9.2,9.1,25.68,25.394,16.48
1998,9.52,9.23,26.01,25.552,16.49
1999,9.29,9.28,25.29,25.566,16
2000,9.2,9.25,25.34,25.546,16.14
2001,9.41,9.324,25.53,25.57,16.12
2002,9.57,9.398,25.76,25.586,16.19
2003,9.53,9.4,25.92,25.568,16.39
2004,9.32,9.406,25.25,25.56,15.93
2005,9.7,9.506,25.48,25.588,15.78
2006,9.53,9.53,25.42,25.566,15.89
2007,9.73,9.562,25.46,25.506,15.73
2008,9.43,9.542,25.35,25.392,15.92
2009,9.51,9.58,25.73,25.488,16.22
2010,9.7,9.58,25.71,25.534,16.01
2011,9.52,9.578,25.36,25.522,15.84
2012,9.51,9.534,26.04,25.638,16.53
2013,9.61,9.57,26.61,25.89,17
2014,9.57,9.582,,,-9.57
2015,9.83,9.608,,,-9.83
